Date,Close,High,Low,Open,Volume,rate
2010-02-22,7560.0048828125,7619.834682711304,7553.254914201843,7619.834682711304,3187400,1.5883136981230228
2010-02-23,7597.40478515625,7597.40478515625,7502.415478616256,7575.585061906142,2992800,0.49470738344068454
2010-02-24,7529.63525390625,7585.15501781324,7515.345280637687,7516.43560764885,2858200,-0.8920089578800305
2010-02-25,7426.92578125,7568.385091173184,7400.385864327683,7568.385091173184,3420800,-1.3640696951816578
2010-02-26,7436.06591796875,7479.245406995329,7383.6462370394775,7451.135672919755,2737400,0.1230675650728319
2010-03-01,7577.71484375,7620.524703730557,7451.055275127742,7492.80508143259,3501600,1.9048906685854572
2010-03-02,7597.5849609375,7664.454768698822,7592.625022951085,7649.584720319389,3158200,0.2622178004479725
2010-03-03,7629.48486328125,7670.214656069337,7604.824820663381,7628.7446323171935,3005000,0.4198689782050735
2010-03-04,7569.7646484375,7663.964406258164,7524.154996981107,7663.964406258164,3480400,-0.782755532174495
2010-03-05,7666.224609375,7694.854849174414,7617.965065061622,7659.7246391829685,3218800,1.274279524098687
2010-03-08,7762.234375,7763.7241142528,7716.244351813266,7741.764254155971,3455000,1.2523735021745974
2010-03-09,7770.55419921875,7770.55419921875,7737.614408911554,7762.364295380642,2978600,0.10718336778834381
2010-03-10,7779.04443359375,7803.234264159243,7736.664744970157,7797.664465461991,2974000,0.10926163253393018
2010-03-11,7749.62451171875,7818.803881027051,7749.364259009537,7817.553886776421,3106000,-0.37819454723706514
2010-03-12,7748.29443359375,7773.484259119075,7726.05430153018,7773.484259119075,2575400,-0.017163129942476818
2010-03-15,7634.884765625,7766.324101794327,7634.884765625,7750.834427025672,2705800,-1.4636726693948
2010-03-16,7695.5947265625,7695.7749015206455,7645.1349961432325,7671.375110643933,2343400,0.7951653862654062
2010-03-17,7847.8037109375,7849.343742909394,7762.814356151247,7763.394431605467,3959000,1.9778716237437433
2010-03-18,7886.302734375,7922.442701035407,7847.512877840027,7861.233028122952,4674600,0.4905706724525283
2010-03-19,7897.873046875,7898.97265108334,7859.253111149226,7898.97265108334,4037000,0.1467140292442437
2010-03-22,7835.94384765625,7872.743482654643,7791.214073443769,7861.863650010822,3768800,-0.7841250277282441
2010-03-23,7811.83447265625,7889.004042415092,7804.364291898103,7880.0841612405175,4063400,-0.3076767198531005
2010-03-24,7822.673828125,7881.3337134258745,7822.673828125,7875.233643945753,4041400,0.1387555702401455
2010-03-25,7838.06396484375,7856.2738418352565,7753.4740227649845,7824.704163150057,3696800,0.19673754852742587
2010-03-26,7876.8232421875,7909.373383823441,7770.383795641784,7808.113600696323,3781000,0.4945006511505534
2010-03-29,7947.4130859375,7961.102963420711,7909.0231284754855,7918.91321901379,3972800,0.8961714841070334
2010-03-30,7962.18310546875,7994.582856806865,7942.433197517216,7992.082868458569,3880200,0.1858468834013971
2010-03-31,7920.02294921875,7974.8527704378785,7920.02294921875,7962.872846101226,3841600,-0.529504982384077
2010-04-01,8013.05224609375,8026.022400080866,7952.582803257008,7952.582803257008,4758600,1.1746089306998275
2010-04-02,8025.892578125,8050.9525193243235,8021.8725774256245,8046.252346029998,3764600,0.16024270948076236
2010-04-06,8089.6123046875,8128.042301859718,8082.332553364959,8082.992218267819,4339600,0.7939269799869031
2010-04-07,8121.7421875,8133.412543631138,8091.2423286917765,8131.362260153683,4172600,0.39717456909378335
2010-04-08,8057.5625,8149.642148469137,8038.332609260473,8105.962176504435,5082800,-0.7902206942591361
2010-04-09,8091.9921875,8094.31248921923,8039.372803078109,8073.482507876142,3819000,0.42729656146012207
2010-04-12,8117.71240234375,8152.492026416152,8092.902458658695,8149.722019714349,4184800,0.31784774685621464
2010-04-13,8029.6923828125,8104.102190651347,8022.9023755430435,8090.502156674922,4054200,-1.0842958603194286
2010-04-14,8097.09228515625,8102.342260778761,8039.972433196375,8077.902432855254,3749000,0.8393833677616147
2010-04-15,8171.90234375,8189.9720848326715,8136.282390444385,8168.072283246514,5190600,0.9239126338092207
2010-04-16,8111.5322265625,8162.812262312582,8090.642674949886,8161.812266947647,4369400,-0.7387523081901715
2010-04-19,7854.18359375,8042.012307819347,7845.733437837388,8002.982704643406,5187400,-3.1726266459223496
2010-04-20,7900.3828125,7923.232802826152,7842.032988922302,7908.0727177855215,3753600,0.5882115970240687
2010-04-21,7990.4921875,7998.722129244412,7947.862505272908,7949.922554173511,3901200,1.1405697310949092
2010-04-22,7978.65234375,7985.452604674006,7897.10292334633,7948.852679486908,3692800,-0.1481741483775112
2010-04-23,8004.8525390625,8030.07214717208,7996.732460013858,8021.672284281293,4027600,0.328378705872856
2010-04-26,8158.1025390625,8168.432569580237,8093.102838621911,8107.182851857375,4437400,1.9144637487344518
2010-04-27,8146.40234375,8174.812368880726,8121.1026558268,8174.812368880726,3716000,-0.14341809577015363
2010-04-28,8081.51220703125,8092.442331962229,7944.663234319352,7944.663234319352,4334800,-0.7965496176178255
2010-04-29,8054.01220703125,8107.322016764699,8052.98242668221,8105.922120955928,4648600,-0.3402828492429122
2010-04-30,8004.21240234375,8163.901593652549,7999.2422108461515,8116.352012316545,5150600,-0.6183229352945907
2010-05-03,7952.1328125,8022.4127579695305,7916.003098290206,7979.762566375658,3430400,-0.6506522719024854
2010-05-04,7930.73291015625,8010.942495778174,7889.893257502585,8006.752573977348,3672800,-0.2691089654603296
2010-05-05,7696.86474609375,7785.514243521473,7695.65479068285,7759.144735060763,4732200,-2.948884632881832
2010-05-06,7579.44482421875,7702.074138231434,7561.994709846292,7696.234321568649,4090600,-1.5255552195404198
2010-05-07,7567.06494140625,7572.754856377406,7387.155621007018,7393.2356708843745,4756000,-0.16333495525875374
2010-05-10,7664.69482421875,7664.69482421875,7577.275303317644,7610.844973559785,3267400,1.2901948584883804
2010-05-11,7608.40478515625,7743.374376344343,7608.40478515625,7718.134258596667,3875600,-0.7344067879211047
2010-05-12,7602.6650390625,7674.484531173494,7596.174834699508,7663.304407091384,2929200,-0.07543954686727306
2010-05-13,7770.5341796875,7787.284102853251,7687.514540978988,7703.444643686621,3779600,2.2080302073350433
2010-05-14,7772.09423828125,7772.504392650192,7725.784392074626,7735.56462065785,2810200,0.02007659393388206
2010-05-17,7598.68505859375,7697.754424455907,7574.025016436464,7697.754424455907,3083600,-2.2311770080369997
2010-05-18,7585.2646484375,7637.954833916074,7560.855093602365,7630.064733766428,2829800,-0.1766149018253116
2010-05-19,7559.125,7588.0545529533965,7467.1654667512,7527.585107624364,3417800,-0.3446108955853622
2010-05-20,7424.39599609375,7557.135131096422,7424.39599609375,7557.135131096422,3058800,-1.782335970185045
2010-05-21,7237.6767578125,7277.896788145289,7164.177094995076,7229.136757927584,3918400,-2.514941799703163
2010-05-24,7322.6962890625,7344.886128374267,7269.776610668632,7296.116333230717,2518600,1.1746798606089737
2010-05-25,7086.337890625,7241.80691016052,7032.36792122066,7238.127239394571,3914000,-3.2277509418291106
2010-05-26,7167.3173828125,7174.3471358818115,7079.8177821998315,7161.36721465923,3536200,1.1427551640549538
2010-05-27,7243.126953125,7254.646919847719,7105.0772929879195,7139.417467600817,3097400,1.057711920143145
2010-05-28,7295.2861328125,7363.975756993354,7271.266224211032,7338.736127462354,3575800,0.7201196392808917
2010-05-31,7373.94580078125,7373.94580078125,7292.506236863379,7312.225872021496,2443000,1.0782259466829869
2010-06-01,7289.29638671875,7348.526093425534,7276.486387333306,7326.975900062601,2518000,-1.147952756223558
2010-06-02,7195.6767578125,7304.0961794060495,7159.7169628048505,7252.756572553209,2794200,-1.2843438370379157
2010-06-03,7360.24609375,7361.666497404375,7309.4265021571,7322.4762471096055,2820800,2.2870584863171395
2010-06-04,7344.55615234375,7377.526215945167,7337.316439460462,7377.526215945167,2484600,-0.21317142397688782
2010-06-07,7157.79736328125,7172.267023709903,7085.517420200552,7139.727133371566,2801400,-2.542819268975194
2010-06-08,7151.95751953125,7179.107297685119,7128.88731256015,7142.277388029344,2772200,-0.08158716227365526
2010-06-09,7071.63818359375,7193.007756061409,7048.568462914415,7166.157778910776,3194200,-1.123039891080957
2010-06-10,7181.73681640625,7182.957025608641,7085.307086445901,7134.127173237345,2467200,1.5569042130567423
2010-06-11,7299.45654296875,7321.566304200081,7273.666622942327,7302.93650737536,3280800,1.6391540037164365
2010-06-14,7387.36572265625,7393.375948754529,7347.195986637626,7372.896063041626,2681000,1.2043249955666857
2010-06-15,7454.02587890625,7489.645832762027,7364.3060754636535,7388.535944828769,2928800,0.9023535418797524
2010-06-17,7515.7451171875,7534.025306303749,7481.6857039812685,7503.085507613884,3259000,0.8279987121577514
2010-06-18,7493.07568359375,7538.515417726515,7459.896147442305,7538.515417726515,2359000,-0.3016258965715557
2010-06-21,7635.52490234375,7645.674757954516,7562.215181289975,7595.8952019982935,3884600,1.9010780721445908
2010-06-22,7612.64501953125,7639.624875403286,7610.584970451092,7630.6048975275435,2901200,-0.29965042489059623
2010-06-23,7582.11474609375,7615.404630799907,7549.944973381433,7576.254909983002,2991200,-0.4010468550572188
2010-06-24,7589.85498046875,7607.594644392279,7567.9249062677245,7601.685003797017,3013000,0.10208542912104601
2010-06-25,7474.67578125,7537.335650973223,7463.255911595001,7509.6858750644815,3368200,-1.517541501321762
2010-06-28,7500.755859375,7536.575520369557,7489.515676219631,7507.115693675551,3169800,0.348912499862819
2010-06-29,7423.53564453125,7584.775136522066,7423.53564453125,7554.745001350304,3366600,-1.0294991103761197
2010-06-30,7329.33642578125,7337.2860962695495,7255.056493792856,7277.356684252356,3332000,-1.268926603988152
2010-07-01,7254.0263671875,7327.3658703113615,7251.566417675263,7326.856107053963,3086400,-1.0275153740909482
2010-07-02,7330.70654296875,7378.736107384536,7284.976284391769,7284.976284391769,3677600,1.0570705412390247
2010-07-05,7439.92578125,7447.145962923587,7351.146403954186,7351.146403954186,3403400,1.489886924828654
2010-07-06,7548.44482421875,7548.44482421875,7382.335734576683,7385.295681728477,4087000,1.458603837718897
2010-07-07,7534.42529296875,7565.33530699325,7517.645585020564,7560.185428345512,3765400,-0.18572741242035562
2010-07-08,7608.81494140625,7622.424741803917,7583.324824807397,7612.674786853226,4278000,0.9873300954609254
2010-07-09,7647.21484375,7652.514624073021,7599.804905455906,7644.074721467215,3585200,0.5046765184783641
2010-07-12,7639.5146484375,7705.074405332083,7636.774914951718,7674.2244496441135,3604800,-0.10069280737932118
2010-07-13,7597.384765625,7671.444481513731,7587.835005128202,7664.674493310024,3037600,-0.5514732905331443
2010-07-14,7714.474609375,7720.594698672151,7683.795061687224,7688.784785041906,4078000,1.5411861760612933
2010-07-15,7704.48486328125,7732.274775535907,7681.835064290548,7699.4551010762525,3892600,-0.12949353779205808
2010-07-16,7664.53466796875,7719.014398545874,7660.724626851176,7717.204836533607,4754200,-0.5185316866919698
2010-07-19,7649.794921875,7666.5448448971865,7596.224855567566,7602.6452362176,3152200,-0.1923110369028591
2010-07-20,7711.99462890625,7730.844640631978,7638.455413364218,7678.855131539973,3555000,0.8130898627541905
2010-07-21,7701.2548828125,7752.76441329635,7678.264753387504,7742.444636187411,3832000,-0.1392602901134743
2010-07-22,7666.3046875,7718.884524503629,7665.744631474563,7699.324555608266,3409400,-0.45382467979993013
2010-07-23,7761.1845703125,7781.984279473875,7739.0044963969285,7746.994205796609,4402800,1.2376221227836437
2010-07-26,7787.41455078125,7807.034089885003,7765.6446308952145,7787.034181428526,3916600,0.33796362180436024
2010-07-27,7747.97412109375,7806.214087535963,7747.97412109375,7806.214087535963,3609200,-0.5064637233617275
2010-07-28,7784.7744140625,7786.194329436063,7726.364525256744,7736.5544200060185,4175400,0.4749666479726855
2010-07-29,7798.95458984375,7799.534177038541,7738.444612493769,7778.704682394418,4541000,0.18215268711749832
2010-07-30,7760.59423828125,7781.2044951805165,7731.154432092492,7765.214334248576,4154600,-0.49186530220928226
2010-08-02,7911.64306640625,7917.913056528259,7829.153218947932,7829.153218947932,5231200,1.9463564707443481
2010-08-03,7957.49267578125,7970.5429078908855,7915.7931632136215,7961.643047051198,5229600,0.5795207012015302
2010-08-04,7972.623046875,7978.123021274817,7938.88296954658,7960.26275284473,4822400,0.19013993113432548
2010-08-05,7936.81298828125,8018.702742116141,7921.942940620168,8010.032372499085,6156600,-0.4491628211092502
2010-08-06,7963.2626953125,7963.2626953125,7922.253120795057,7938.052851854677,4304800,0.3332534994878067
2010-08-09,8034.45263671875,8040.902313568388,7971.152639965763,7974.632604149832,4990400,0.893979567547798
2010-08-10,7976.70263671875,8054.2520758821365,7975.342291568146,8054.2520758821365,5258800,-0.7187795187947654
2010-08-11,7894.99267578125,7956.862502157765,7869.483030060986,7923.532580695679,4870400,-1.0243576156564793
2010-08-12,7829.75390625,7837.343714974489,7776.624268620587,7789.424014239717,4390000,-0.8263309696458276
2010-08-13,7891.54296875,7906.312918826694,7830.423138973807,7845.943085523701,4814200,0.7891571464420766
2010-08-16,7941.18310546875,7941.18310546875,7850.093199103229,7884.242941864258,4424600,0.6290295435926962
2010-08-17,7931.052734375,7973.112596170767,7931.052734375,7962.66293803344,5046000,-0.12756752941225358
2010-08-18,7924.06298828125,7984.532431657806,7897.14319247501,7978.482655302164,5324400,-0.08813137836614082
2010-08-19,7928.90283203125,7948.692778471534,7886.693068646674,7925.442887287212,4969400,0.061077805125453466
2010-08-20,7927.27294921875,7941.572686965912,7904.972760642276,7915.123103751202,4005400,-0.020556221296030852
2010-08-23,7975.89306640625,8013.082834779957,7924.063229429526,7938.173027062231,4635000,0.6133271491842729
2010-08-24,7940.60302734375,7990.452892033144,7940.60302734375,7983.582806952093,4714600,-0.44245877883115625
2010-08-25,7736.9443359375,7889.5334767008735,7736.9443359375,7889.5334767008735,5725600,-2.5647761348218
2010-08-26,7689.705078125,7758.104667755447,7666.47471558095,7743.2844230115215,4425200,-0.6105673733889705
2010-08-27,7722.875,7722.875,7662.19510044719,7702.554780002175,3458600,0.43135492893424665
2010-08-30,7741.16455078125,7806.87420915575,7737.244158676617,7797.2238629661915,3380800,0.23682308442452005
2010-08-31,7616.24462890625,7687.434729983377,7577.065122257129,7669.274657559472,4190400,-1.613709682251785
2010-09-01,7668.21484375,7679.394968274046,7625.685253577972,7643.574819997678,3612200,0.6823601049591455
2010-09-02,7720.78466796875,7780.494357020833,7715.274927432109,7764.764448177524,4080600,0.6855549210595946
2010-09-03,7830.173828125,7830.173828125,7770.894316517655,7770.894316517655,4494800,1.4168140268187246
2010-09-06,7890.9130859375,7902.522894620158,7841.793199750932,7879.663138843735,4269000,0.7757076553566611
2010-09-07,7884.36279296875,7922.03253754335,7876.632848882572,7914.342632331221,4480400,-0.08301058315320908
2010-09-08,7851.2734375,7898.722923210203,7824.613405601742,7866.313406410809,4209200,-0.419683319218378
2010-09-09,7835.50390625,7903.43376877801,7817.8340658580855,7901.793639622588,4295800,-0.20085316573843492
2010-09-10,7890.07275390625,7911.622945517995,7859.293113515866,7900.522900068583,4179400,0.6964306100686546
2010-09-13,8091.26220703125,8091.26220703125,7946.943053420099,7961.942983719945,5166600,2.549906184646966
2010-09-14,8132.5625,8132.5625,8081.752676305187,8121.642628608666,4819400,0.5104307821449661
2010-09-15,8163.7822265625,8163.7822265625,8113.932846764894,8152.592336690406,4851200,0.3838854796689217
2010-09-16,8099.71240234375,8182.76182152824,8099.71240234375,8174.812151398172,4603800,-0.7848056506246093
2010-09-17,8158.29248046875,8197.782532853043,8134.262317774742,8150.902377807438,5165000,0.7232365202010094
2010-09-20,8186.92236328125,8195.702596396372,8161.782342015638,8174.8423406325965,4425800,0.35092984078519684
2010-09-21,8196.3603515625,8251.379614044461,8177.3599560978155,8249.55931043661,4656400,0.11528127252775633
2010-09-23,8202.5,8223.179586556233,8154.930407983855,8201.639652637134,4565800,0.07490700962566876
2010-09-24,8166.58251953125,8190.92225122497,8129.172535510909,8182.122487050194,4142800,-0.4378845531088138
2010-09-27,8191.50244140625,8240.822527535123,8189.342295070968,8239.0725355673,4624400,0.3051450446426296
2010-09-28,8189.40234375,8211.382223308829,8173.222242251814,8201.771915867379,3635400,-0.02563751486704957
2010-09-29,8240.849609375,8286.889424748058,8218.710068504863,8241.61034786637,5151200,0.6282175849408933
2010-09-30,8237.740234375,8267.50962093261,8204.799964791786,8259.200091008102,4496600,-0.037731243104621726
2010-10-01,8244.1396484375,8260.240156180154,8220.690543572055,8259.039966696577,3893000,0.07768409637143314
2010-10-04,8246.0595703125,8299.999738091421,8240.62990917643,8261.120044060784,5026400,0.023288323061865235
2010-10-05,8200.3896484375,8217.820227393795,8155.2599859742095,8217.820227393795,4383800,-0.5538393396940844
2010-10-06,8283.990234375,8301.349525472227,8267.57039186213,8296.190370720504,5662000,1.0194708973789934
2010-10-07,8283.8798828125,8310.75963570519,8270.269597033557,8304.870015734406,5161200,-0.001332106380835807
2010-10-08,8244.150390625,8309.869798010468,8231.979551297169,8306.279971695045,4236200,-0.479600051540241
2010-10-11,8176.72216796875,8277.742211277653,8165.162650808447,8277.742211277653,3743400,-0.8178917106234196
2010-10-12,8090.1826171875,8180.352120016091,8058.55239308948,8176.662195758096,4025600,-1.0583648190990003
2010-10-13,8106.62255859375,8143.152174329513,8067.832699434505,8116.652297233135,3692600,0.2032085329115363
2010-10-14,8215.41015625,8252.159977144107,8178.299985549614,8181.469891975588,4537400,1.3419595752725
2010-10-15,8205.259765625,8242.729309348024,8184.250102520486,8216.830021665824,4791800,-0.12355305982231224
2010-10-18,8060.50244140625,8209.351356485779,8057.082535483165,8209.351356485779,4396000,-1.7642016018212359
2010-10-19,8046.1923828125,8074.64244518564,8018.272591399049,8044.862310902562,3176000,-0.17753308429311332
2010-10-20,8124.58251953125,8131.152313347348,7992.773070904391,7993.393185222224,3668000,0.9742513351557403
2010-10-21,8131.1923828125,8171.452450561035,8109.752540541504,8135.532206495676,4223400,0.0813563437304099
2010-10-22,8168.0224609375,8173.992160021294,8148.222259109682,8169.4721612957355,3782000,0.4529480596578983
2010-10-25,8306.9404296875,8307.549801750356,8199.450713407881,8203.970222874059,3311400,1.7007540003024957
2010-10-26,8343.1904296875,8353.82026148732,8318.969842797364,8336.910186388957,3161600,0.4363820868445112
2010-10-27,8291.0,8372.479098707012,8285.690455328458,8369.709580831623,2910600,-0.6255452290983454
2010-10-28,8354.009765625,8386.249845479882,8281.47983980862,8314.96014809434,3361800,0.759977875105533
2010-10-29,8287.0498046875,8348.349313205083,8278.679727940209,8348.349313205083,2584200,-0.8015307955830497
2010-11-01,8379.7099609375,8407.8699826362,8343.479665299348,8343.479665299348,3116000,1.1181320063695876
2010-11-02,8344.7197265625,8390.059352767012,8344.7197265625,8380.019361877708,3004600,-0.4175590150268804
2010-11-03,8293.8603515625,8398.259261633577,8273.429786129667,8394.489748581105,3449400,-0.6094797268997199
2010-11-04,8357.8095703125,8367.150345876924,8317.82050407229,8321.320487305211,2705000,0.7710428683303405
2010-11-05,8449.2998046875,8458.429644236034,8420.610487513808,8444.7695527177,4335000,1.0946676112360665
2010-11-08,8430.5400390625,8473.619912588774,8416.16022454388,8473.619912588774,3672600,-0.22202745859003503
2010-11-09,8445.58984375,8457.37006133955,8421.089959899658,8430.660227028699,2671000,0.17851531002484045
2010-11-10,8450.58984375,8471.530174221798,8425.200315608588,8457.049774080222,3159000,0.05920249612523243
2010-11-11,8436.91015625,8458.450093090376,8422.91998826817,8436.979491858454,2604800,-0.1618784931340267
2010-11-12,8316.009765625,8416.309087401714,8309.32034470753,8404.389222917242,2601400,-1.4329936953925926
2010-11-15,8240.6103515625,8301.309275391626,8226.669989607728,8287.789809829324,2337600,-0.9066777960527461
2010-11-16,8312.169921875,8324.469667315603,8234.180063170958,8234.180063170958,2166200,0.8683770650426581
2010-11-17,8255.5,8284.469586060402,8228.200327715538,8249.910183360535,2068400,-0.6817704932362223
2010-11-18,8283.41015625,8286.879866041156,8238.729708156916,8285.509755476283,1930800,0.3380795378838286
2010-11-19,8306.080078125,8372.119798846179,8283.229602337127,8344.619931407977,2313000,0.2736786111924516
2010-11-22,8374.8701171875,8391.209882819405,8334.380076389625,8343.280424463326,2074600,0.828188970193855
2010-11-23,8328.58984375,8396.449869080587,8323.769554423176,8388.21943989775,2436200,-0.5526088499273607
2010-11-24,8297.009765625,8337.150196918437,8277.290134223958,8277.290134223958,2207400,-0.3791767720282002
2010-11-25,8349.9501953125,8355.349583484254,8330.879974256612,8337.860409534545,2383800,0.6380663779237183
2010-11-26,8312.1103515625,8371.229207414624,8312.1103515625,8371.229207414624,2532000,-0.4531744844567198
2010-11-29,8367.1298828125,8401.379718917431,8331.46989720553,8399.729336189976,2661400,0.6619201252502371
2010-11-30,8372.4404296875,8443.339504693244,8363.92972820026,8384.5995512271,3732200,0.06346915787585061
2010-12-01,8520.0703125,8520.0703125,8428.600039228728,8430.559990955668,4202800,1.763283764779322
2010-12-02,8585.7294921875,8641.089585581345,8572.610412742582,8597.969669481126,4731800,0.7706412890885472
2010-12-03,8623.9697265625,8659.579912795283,8618.219753258274,8630.83981185381,3710800,0.44539295594854256
2010-12-06,8702.1904296875,8718.490159379411,8675.410279466347,8675.410279466347,3623200,0.9070150476534478
2010-12-07,8704.349609375,8715.95990753139,8654.450424843328,8715.95990753139,3208800,0.024811910345401422
2010-12-08,8703.75,8729.660037058435,8683.94052081523,8727.839732932212,3183800,-0.006888617782008222
2010-12-09,8753.7998046875,8782.78014088415,8736.729570265157,8769.299733792272,4398800,0.5750372504667478
2010-12-10,8718.7900390625,8744.629764149433,8684.009925344772,8740.66982139707,3880200,-0.3999379287409899
2010-12-13,8736.5498046875,8764.469598607828,8736.50000022825,8748.59955415175,3237800,0.20369530113044654
2010-12-14,8740.3896484375,8789.209737296373,8717.490339274998,8771.860207398255,3574600,0.04395148927027748
2010-12-15,8756.669921875,8756.669921875,8698.370383756741,8755.28027979151,3622600,0.18626484736192772
2010-12-16,8782.16015625,8797.940357743415,8767.400457916472,8770.700247559782,3719600,0.2910950692719627
2010-12-17,8817.8603515625,8860.33965086519,8817.469728336195,8828.00971953999,4232000,0.4065081332762288
2010-12-20,8768.6796875,8861.049382914081,8740.25989539389,8861.049382914081,3183800,-0.5577392031819284
2010-12-21,8827.75,8827.75,8772.550055051868,8802.820425570351,2753200,0.6736511607808637
2010-12-22,8860.4501953125,8865.379860536072,8834.280391694967,8847.22955192963,3464800,0.37042502690378676
2010-12-23,8898.8291015625,8914.298756823757,8874.829212180475,8891.369175008575,4002600,0.4331484902460492
2010-12-24,8861.0595703125,8911.36988985825,8860.96972696846,8910.570088784683,3616800,-0.42443259465864136
